epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,117.106,1.29579,0.86121,0.99023,0.43753,0.000236455,0.000236455,0.000236455
2,212.039,0.45254,0.88034,0.99227,0.38623,0.000443141,0.000443141,0.000443141
3,311.768,0.3883,0.8547,0.9886,0.45906,0.000618411,0.000618411,0.000618411
4,409.501,0.36397,0.90965,0.99512,0.30013,0.000572628,0.000572628,0.000572628
5,514.294,0.28334,0.91494,0.99471,0.27822,0.000525504,0.000525504,0.000525504
