epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,102.841,1.29579,0.86121,0.99023,0.43753,0.000236455,0.000236455,0.000236455
2,159.775,0.45254,0.88034,0.99227,0.38623,0.000443141,0.000443141,0.000443141
3,241.829,0.3883,0.8547,0.9886,0.45906,0.000618411,0.000618411,0.000618411
4,297.174,0.36397,0.90965,0.99512,0.30013,0.000572628,0.000572628,0.000572628
5,383.755,0.28334,0.91494,0.99471,0.27822,0.000525504,0.000525504,0.000525504
6,455.23,0.26203,0.90965,0.9943,0.27622,0.00047838,0.00047838,0.00047838
7,516.098,0.22087,0.92837,0.99715,0.24873,0.000431256,0.000431256,0.000431256
8,604.548,0.17585,0.93122,0.99593,0.23033,0.000384132,0.000384132,0.000384132
9,681.927,0.14932,0.93488,0.99756,0.19325,0.000337008,0.000337008,0.000337008
10,752.792,0.1306,0.9418,0.99674,0.20151,0.000289884,0.000289884,0.000289884
11,824.024,0.10789,0.94872,0.99715,0.17479,0.00024276,0.00024276,0.00024276
12,896.559,0.09867,0.94831,0.99796,0.1916,0.000195636,0.000195636,0.000195636
13,971.147,0.08298,0.94709,0.99837,0.16408,0.000148512,0.000148512,0.000148512
14,1043.88,0.06879,0.95075,0.99837,0.16991,0.000101388,0.000101388,0.000101388
15,1118.29,0.05758,0.95238,0.99878,0.15687,5.4264e-05,5.4264e-05,5.4264e-05
